Owner ,Include,Startup Name,Description,Website,Financial Instrument,Customer,Consolidated Tag,Tag,Objective,Maturity (new),Funded,Funding Round,Funding amount ($),Country,Founded Year,Employees,Complete,Hero,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity,0.4,0.6,0,Text to no.conversion,,,Consolidated Customer,API Integration,Financial/Non-Financial
Eddie,TRUE,Snoop,"Snoop provides automated expense management platform for individuals. It enables users to link bank accounts and credit cards for tracking expenses. It uses open banking technology for banking, budgeting, and personal financial management.",https://snoop.app/,Aggregator,Millennials,Automated Savings,Autosaving Application,Automated expense management for customers,Nascent,Yes,Series A,"3,980,000",United Kingdom,2018,26,Yes,,,,,,,,,,,,,End Consumer,Yes,Financial
Eddie,TRUE,Oval Money,"Oval is an app that will link to a user's bank account and credit card, will give real time updates on the users' spending patterns and stats, while helping them save easily. When users will want to spend for an emergency, an event, a gift or a charity donation, Oval will also allow users to borrow up to 80% on top of their savings that will be repaid on a yearly basis with daily micropayments. The loan will be provided by P2P money of other savers on Oval that have opted to invest their money into loans to receive a higher interest rate.",https://www.ovalmoney.com/,Savings,Millennials,Savings Management,Personal Savings,Enables smarter tracking of spending,Nascent,Yes,Series A,"11,200,000",United Kingdom,2015,71,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Ockto,"Ockto is a mobile app that allows consumers to store and view financial information from different service providers. Users can pull their financial information from different websites and store it in Ockto app. Users can also share the data with other financial service providers. Allows users to pull their tax information, pension information, personal information, etc through the app.",https://www.ockto.nl/,Data Sourcing,All,Asset Management,Data Transparency,Provide customers a snapshot of where their data is saved and stored,Nascent,Yes,Undisclosed,,Netherlands,2017,15,Yes,,,,,,,,,,,,,End Consumer,Yes,Non-Financial
Eddie,TRUE,Moxie Pensions,"Moxie Pensions provides an app-based pension consolidation platform for individuals. It features tools for tracking pension, monitoring pension providers, forecasting returns, retirement planning, and more.",https://www.getmoxiepensions.co.uk/,Pensions,Millennials,Pensions Plan,Pensions Transparency,Manage multiple pensions within a single app,Nascent,No,Unfunded,,United Kingdom,2019,1,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Robinhood,"Robin Hood is a mobile app that helps the users to decide the best financial product as per the preferences. It monitors, manages and streamlines all the pension, insurance, and savings plans using an algorithm. The app is connected to the Ministry of Finance's pension clearing house, which contains information on the insurance companies and investment houses, pension agents at banks and independent advisers, employers, and savers. It claims that all its users will receive an up-to-date status report on all the insurance and pension plans and on the existing substitutes.",https://www.robinhoodpro.com/,Pensions,All,Pensions Plan,Robo Advice,Roboadvice for retirement plans,Nascent,Yes,Seed,"120,000",Israel,2015,25,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Finabro,Pension fund in Austria,https://www.finabro.at/,Pensions,All,Pensions Plan,Pensions Plan,One stop overview on pensions,Nascent,Yes,Undisclosed,,Austria,2016,15,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Finax,"Finax is a robo advisor providing investment and financial planning solutions for individuals and businesses. It offers investment plans based on the goals of the user and enables investments in ETF index funds with zero income taxes. Also offers financial planning, pension security, etc.",https://www.finax.eu/en,Investments,Working Class,Robo Advice,Robo Advice,Intelligent investment for everyone,Nascent,Yes,Seed,"1,700,000",Slovakia,2017,3,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,FALSE,Vidahorro,Vidahorro provides an app-based saving platform for retirement and pension plans. It enables users to save and add money from debit & credit cards. It features tools for pension plan customization. The app is available for Android and IOS platforms.,https://www.vidahorro.com/,Savings,Millennials,#N/A,,,,,,,,,,,,,,,,,,,,,,,End Consumer,,
Eddie,FALSE,Lysa,"Lysa provides advisor assisted investment platform for individuals. It enables users to invest in funds for goal-based savings, children's education, pension, and more. It offers investment in the securities market and helps in portfolio management.",https://lysa.se/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Matter,Pension focussed investment management firm,https://www.matterpension.dk/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Pinbox,"PinBox Solutions provides digital solutions for micropension and microinsurance inclusion. Offers a ready-to-deploy IT platform that provides multiple features such as issuing and managing individual DC micropension accounts; pension & financial inclusion ecosystem integration; real-time accounting of contributions & balances; real-time MIS and process/ TAT compliance monitoring, etc.",https://www.pinboxsolutions.com/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Penseo,Penseo aims to digitize occupational pensions for small and medium-sized enterprises. It helps to simplify the setup and administration of BAA for the HR department and payroll accounting. The product is available on a subscription basis. Buddenbrock Group is a notable client. The company has won the WeDoDigital Award in 2018.,https://www.penseo.de/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Colemna,"Colmena is an employer-enabled savings & retirement planning platform for individuals. Offers tools to maintain financial stability, manage pension plans, insurances, and investment in the health & education of the employers. Also, provides flexible benefit plans & products to users.",https://www.colmenahr.com/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Pensure,Pensure provides an online platform for pension assessment. It helps in analyzing pension for retirement planning. It offers advisory services for pension optimization and retirement savings.,https://www.pensure.dk/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Afilio,Afilio provides an online platform for retirement planning. It offers advisory services for individuals and families. It helps in investment in insurances and pension policies. It also offers pension administration and planning solutions.,https://www.afilio.de/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Savey,"Savey is an online comparison platform for comparing insurance, pensions, savings and investment products. Apart from objective comparison tools. the platform also offers product recommendations from experts, and aggregates ratings/feedback on the product by the site users. The service is free for users, and the revenue model is based on referral fees.",https://www.savey.co.il/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Autosave,AutoSave is a platform offering pension cards for non-government employees. Users holding these NPS cards can avail tax benefits. It allows individuals to deposit money in their account and avail benefits for saving funds through pension schemes.,https://autosave.in/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Fink,"Fink is a financial planning and advisory platform. It uses AI-driven tools and solutions for pension planning, wealth management, investment advice, personalized recommendations, and financial education. Offers non-biased insights to assist users in planning long-term and short-term goals.",https://www.finkfinance.com/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,DestinationFP,"Destination Financial Planning is a platform that offers online financial planning to young professionals. They provide expert advice on investments, savings, pensions, etc. for young professionals in the UK. They also provide automated Investment options and monitors the progress of portfolio on real time.",https://destinationfp.com/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Myanmar Wallet,"Myanmarewallet provides white-labeled wallets to businesses. The wallet offers services such as money transfer, online/offline purchases, and bill payments. It can be used for making payroll, pension, and bulk payments to clients or employees. It can also be integrated on the website for accepting payments. It facilitates fraud prevention.",https://www.myanmarewallet.com/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,PensionLoan,Pension Loan is an online consumer loans platform. SASSA card holders can apply for personal loans and pension loans via the platform. They can avail loans of up to R7000.,https://www.pensionloan.co.za/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,Dexxi,"Dexxi provides an online index investment platform for exchange-traded funds. It enables users to invest based on goals for supplementary pension, repaying the mortgage, healthcare, education, etc.",https://www.dexxi.be/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Eddie,FALSE,MyQuinto,MyQuinto is an online payday loan platform. Offers users short-term loans up to a fifth of the user's salary or pension. Users need to provide their basic details to register on the platform and get offers from multiple lenders online.,http://myquinto.it/,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#N/A,,
Vish,FALSE,Raisin,Raisin is a marketplace platform that allows savers to identify the best rates across multiple banks in an easy to use platform that has over 94 partner banks.,https://www.raisin.com,Savings,Working class ,Asset Management,Asset Management,Help customers identfy the best savings rate to maximise their savings potential,Emerging,Yes,Series D,"142,000,000",Germany,2012,270,Yes,,,,,,,,,,,,,End Consumer,,
Vish,TRUE,Human Interest,"Human Interest is an online service and tool that helps small businesses and startups set up 401(k) plans for their employees. It encourages employers to safeguard the financial futures of their employees. It enables businesses of any size to set up and administer a 401(k) plan online with an automated investment advising component (via Human Interest Advisors, LLC) to help employees make better financial decisions about their savings.

Human Interest also helps employees become more educated about the best available choices. They are an automated, paperless 401(k) that reduces all administrative burden for their customers. The company creating an easy system for small and medium businesses to begin offering a 401(k) to employees. Human Interest was formerly known as Captain401.",https://humaninterest.com/,Pensions,Startups,Pensions Plan,Pensions Plan,Encourage small businesses and startups to add employee retirement schemes,Emerging,Yes,Series C,"81,800,000",USA,2015,151,Yes,,,,,,,,,,,,,Startups,No,Financial
Vish,FALSE,Mint,Mint is an all-in-one financial manger that allows customers to track flow of money and receive savings advice,https://www.mint.com/,Savings,Millenials,#N/A,Expense Management,Improve financial management amongst the younger generation,Emerging,Yes,Acquired,"171,000,000",USA,2006,N/A,Yes,,,,,,,,,,,,,End Consumer,,
Vish,FALSE,Smart Pension,"Smart Pension is building an advanced technology pension platform that makes auto enrollment affordable, accessible and sustainable for thousands of small business founders and advisers. The company's Adviser Platform has been designed for accountants, bookkeepers, payroll bureaus and payroll software providers, HR, independent financial advisers and other advisers to manage a portfolio of clients through auto enrollment",https://smartpension.co.uk/,Pension,Startups,Pensions Plan,Pensions Plan,Simplify the pension process for businesses,Emerging,Yes,Series C,"18,300,000",United Kingdom,2014,N/A,Yes,,,,,,,,,,,,,Startups,,
Vish,TRUE,Hastee,Hastee provides customers early access to upto 50% of their monthly wages.,www.hastee.com,Savings,Working class ,Savings Management,Earnings on Demand,Support people who suffer from cashflow issues with salaries.,Emerging,Yes,Series B,"275,700,000",United Kingdom,2017,30,Yes,Yes,,,,,,,,,,,,End Consumer,No,Financial
Vish,FALSE,Acorns,"Acorns is a savings and investment mobile application. Linked to a user’s financial accounts, it invests change from purchases in a diversified portfolio. Other products and services include IRAs, debit accounts and informational content that enables users to invest automatically and learn as they go.",https://www.acorns.com,Savings,Millenials,Goal Based Savings,Retirement Solutions,Micro-investing for the younger generation,Nascent,Yes,Series E,"207,000,000",USA,2012,200,Yes,,,,,,,,,,,,,End Consumer,,
Vish,TRUE,Penfold,Penfold provides pensions for the underserverved market of the self employed customers,https://getpenfold.com,Pensions,Self Employed,Pensions Plan,Pensions Plan,Pensions for the self employed,Nascent,Yes,Seed,"2,400,000",United Kingdom,2018,15,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Vish,TRUE,Kalgera,Kalgera provides a financial safeguarding tool for the elderly. It is designed to recognize financial vulnerability. The platform analyzes financial transactions and automatically alerts family and friends in case of financial irregularities.,https://kalgera.com,Savings,Elderly,Savings Management,Scam Prevention,Reducing the financial losses due to vulnerable elderly,Nascent,Yes,Undisclosed,N/A,United Kingdom,2017,N/A,Yes,,,,,,,,,,,,,Elderly,No,Financial
Vish,TRUE,Arnexa,Platform for financial savings management,arnexa.com,Savings,Milennial,Savings Management,Scam Prevention,Platform to help customers save,Nascent,No,Unfunded,,USA,2015,1,Yes,,,,,,,,,,,,,End Consumer,No,Non-Financial
Vish,TRUE,Spender.Ai,AI-based expenditure and saving tracker app.,spender.ai,Savings,Milennial,Savings Management,Personal Savings,Saving tracker app,Nascent,No,Unfunded,,Canada,2016,3,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Vish,TRUE,Squirrel,Budgeting app for financial goals,squirrelapp.com.au,Savings,Milennial,Savings Management,Personal Savings,Budgeting app,Nascent,No,Unfunded,,Australia,2015,2,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Vish,TRUE,Stash,"Stash is a digital investment advisor. Investors can sign up on the app, pick from a short list of investments curated for them, and make a small initial investment. The Stash virtual advisor helps guide investors from there, with advice, support and recommendations. Minimum account size is $5.",stashinvest.com,,All,Savings Management,Personal Savings,Micro investment app.,Mature,Yes,Series F,"301,736,165",USA,2015,,,,,,,,,,,,,,,End Consumer,No,Financial
Vish,TRUE,WealthNavi,"WealthNavi provides an automated platform for asset management. It enables investors to invest in a diversified portfolio of ETFs. It features solutions for automated portfolio construction, periodic rebalancing, dividend reinvestments, tax optimization, etc. It is available on a subscription basis.",wealthnavi.com,,All,Asset Management,Asset Management,Automated asset management platform,Mature,y,Series D,"130,000,000",Japan,2015,,,,,,,,,,,,,,,End Consumer,No,Financial
Vish,TRUE,Guideline,Guideline is an automated investment technology provider to SME's that makes recommendations and adjustments on an ongoing basis to optimize employees retirement accounts.  The automated investment technology incorporates an individual’s entire financial ecosystem to make ongoing recommendations and adjustments.,guideline.com,,Startups,Pensions Plan,Pensions Plan,Automated 401K platform.,Mature,,Acquired,"59,000,000",USA,2015,,,,,,,,,,,,,,,Startups,No,Financial
Vish,TRUE,M1 Finance,M1 Finance automatically moves clients money between cash and the investments of clients choice. Users set the account threshold above which they like to invest and the stocks they wish to own. Features include intuitive PIE charts. It allows for a minimum investment of $10 and allows fractional ownership of shares. It charges a 0.35% flat fees on the invested amount.,m1finance.com,,All,Robo Advice,Robo Advice,Investment platform with algorithm-based rebalancing,Mature,y,Series B,"58,174,878",USA,2015,,,,,,,,,,,,,,,End Consumer,No,Financial
Vish,TRUE,LIQID,"LIQID provides a digital wealth management platform for private market investors. It enables users to invest in private equities and real estate market. It features investment strategies, instruments, and risk management tools.",liqid.de,,Working Class,Savings Management,Wealth Management,Digital wealth management platform,Emerging,y,Series C,"50,000,000",Germany,2016,,,,,,,,,,,,,,,End Consumer,No,Financial
,TRUE,Wahed Invest,Wahed Invest offers an automated investment service based on modern portfolio theory that gives to access state-of-the-art Shari’ah compliant portfolio management through web-based platform. Minimum account requirement is $100.,wahedinvest.com,,Working Class,Goal Based Savings,Shariah Investments,Sharia-compliant automated investment advisor.,Mature,y,Series B,"45,000,000",USA,2015,,,,,,,,,,,,,,,End Consumer,No,Financial
,TRUE,BrightPlan,"BrightPlan provides a robo-advisory platform. The platform takes users goals as input to help plan for the portfolio. After profiling the user, the system automatically selects a relevant portfolio, invests, and rebalances it to achieve the goals. The company also provides access to advisors to help with the financial planning.",brightplan.com,,Milennial,Robo Advice,Robo Advice,Goal-based robo advisor solution,Emerging,y,Series B,"37,000,000",USA,2016,,,,,,,,,,,,,,,End Consumer,No,Financial
,TRUE,Netwealth,"Netwealth is an online wealth management platform. The platform allows users to choose their financial goals and accordingly helps select a suitable portfolio. The company offers GIA, SIPP, ISA and JISA accounts in sterling, dollar and euro denominations.The company invests in passive funds and ETFs. They also offer investment advisory services to its customers. The company charges approx 1% for their services as of March 2018.",netwealth.com,,All,Savings Management,Wealth Management,Online wealth management platform,Mature,y,Seed,"34,945,771",United Kingdom,2015,,,,,,,,,,,,,,,End Consumer,No,Financial
,FALSE,FutureAdvisor,"FutureAdvisor is a registered investment advisory firm that manages clients existing IRA, Roth, taxable accounts, and other investment accounts. The platform automatically monitor, re-balance, and tax-manage client's current investments, adding low-fee index funds where necessary to bolster the portfolio. Holds agreements with Fidelity Investments and TD Ameritrade, to assume custody of client  accounts. Backed by the venture capital team behind PayPal and Google.",futureadvisor.com,,,#N/A,,Investment management for middle- and working-class families,,y,Acquired,"22,675,223",USA,2010,,,,,,,,,,,,,,,#N/A,,
,TRUE,StashAway,StashAway is a savings platform offering money management solutions to consumers. It provides portfolio management and options to invest in ETFs. It assists with risk management and portfolio rebalancing. The application can be accessed on iOS and Android devices.,stashaway.sg,,All,Savings Management,Personal Savings,Savings platform for consumers,Mature,y,Series B,"20,400,000",Singapore,2016,,,,,,,,,,,,,,,End Consumer,No,Financial
,FALSE,Invest,"Invest.com allows users to create and manage portfolios and use its automated trading strategies. Its offers a robo advisor Portfolio Advisor which works on its algorithm and requires a minimum investment of GBP 1,500. It also provides Portfolio Builder that allows users to choose their own algorithm and requires a minimum investment amount of GBP 500. It also provides already built and tested trading strategies, and also provides a mobile app for tracking and adjusting portfolios.",invest.com,,,#N/A,,"Portfolio management, strategies and trading platforms provider for alternate investments",,,Deadpooled,"20,000,000",Israel,2014,,,,,,,,,,,,,,,#N/A,,
,TRUE,Exo Investing,"Exo Investing provides an online portfolio management solution to investors. It offers a platform that has an automated ETF selection process to match the goals of investors. Features AI based risk management and rebalancing, portfolio and risk adjustment, quantitative analysis, and daily management of portfolios. It charges 0.75% for investments up to £ 100000 and 0.5% beyond £ 100000.",exoinvesting.com,,All,Asset Management,Portfolio Management,Online portfolio management solution,Nascent,y,Seed,"19,308,408",United Kingdom,2016,,,,,,,,,,,,,,,End Consumer,No,Financial
,TRUE,Fisdom,"Fisdom is an app to make investments. Fisdom is an investment advisor registered with AMCI. Users have to set goals and the algorithm then allots the risk level and decides the portfolio. The app takes care of load and tax optimization and portfolio rebalancing. Currently the company is offering invests in mutual funds but plans include more products. Raised a funding of $500k (INR 3.4Cr) from Rob Chandra, Raghunandan G and Aprameya Radhakrishna (Co-Founders, TaxiForSure), Sumit Jain (Co-founder, CommonFloor), Vishal Purohit (CEO, Wooqer), Rajeev Chitrabhanu, (CEO, JM Financial) and Gaurav Gupta (Macquarie Capital) in Jan, 2016. Planning to serve 5,000-10,000 customers by the end of 2016.",fisdom.com,,Working Class,Robo Advice,Robo Advice,Mobile first robo advisor,Mature,y,Series C,"16,645,320",India,2015,,,,,,,,,,,,,,,End Consumer,No,Financial
,TRUE,Fount,"Fount provides a robo advisory platform for asset management. It features AI-based investment algorithms based on back-testing and market analysis. It helps in portfolio optimization, portfolio rebalancing, data analysis, and reporting.",fount.co,,All,Robo Advice,Robo Advice,Robo advisory platform for asset management,Mature,y,Series B,"16,093,500",South Korea,2015,,,,,,,,,,,,,,,End Consumer,No,Financial
,TRUE,United Income,"United Income provides an online investment platform allowing its users to save and invest their money to meet the various retirement goals. The platform asks users to enter their goals and expense requirements and accordingly plans, invests and rebalances the capital to achieve those goals with the help of a financial advisor. The platform also helps users with tax planning, cash withdrawals, and more to help increase capital as much as possible.",unitedincome.com,,Working Class,Goal Based Savings,Retirement Solutions,Investment Management platform for retirement,Mature,y,Acquired,"15,922,740",USA,2016,,,,,,,,,,,,,,,End Consumer,No,Financial
,FALSE,QuantBank,"QuantBank is a mobile based automated investment advisory platform which uses big data technology in different investment ideas and concepts to construct mathematical models to ensure the user gets larger returns. It is currently targetted at  high net worth users. It has about 3,000 registered users and total AUM of $90M (600 million yuan).",quantbank.com,,,#N/A,,Mobile based automated investment advisory platform,,y,Deadpooled,"15,000,000",China,2013,,,,,,,,,,,,,,,#N/A,,
,TRUE,Mylo,"Mylo is an investment app that automatically rounds up everyday purchases and invests the spare change to acheive financial and donation goals. Users link their bank account, the expenditure is rounded up and invested in the personally tailored diversified portfolio of ETFs. Also allows the users to donate the spare change to charities. Users sync their debit or credit cards, select a charity and set a donation goal. The platform automatically rounds up the transaction to the nearest dollar and donate the spare change to the selected Canadian charity. Charges a monthly flat fee of  $1.",mylo.ai,,Milennial,Automated Savings,Autosaving Application,Spare change investment app,Emerging,y,Series A,"14,000,000",Canada,2015,,,,,,,,,,,,,,,End Consumer,No,Financial
,TRUE,Sarwa,"Sarwa provides an online automated investment platform to investors. It provides customized portfolios based on the investor's goal and risk appetite. Features portfolio monitoring and rebalancing, dividend reinvesting, financial planning, and provides access to investment advisors.",sarwa.co,,All,Asset Management,Asset Management,Automated investment platform,Emerging,y,Series A,"10,000,000",United Arab Emirates,2016,,,,,,,,,,,,,,,End Consumer,No,Financial
,TRUE,Robustwealth,RobustWealth software allows online 401(k) plan establishment for business and provides automated investment services for indiviuals which can also be cross sold to 401(k) participants. Core portfolio uses low cost passive ETFs and Funds. Robustwealth can work with a variety of custodians or investors can use one of their partners.,robustwealth.com,,Working class,Asset Management,Asset Management,Automated solutions for individuals and  401(k) accounts.,Mature,y,Acquired,"7,490,000",USA,2015,,,,,,,,,,,,,,,End Consumer,Yes,Financial
,TRUE,WealthKernel,WealthKernel is Enterprise provider of automated advice and investment management solutions. They provide UK advisors with a managed account digital platform that delivers automated investment advice to clients simultaneously ensuring the RDR compliance procedures. They also partner with investment managers to improve their practices and thereby close the RDR (Retail Distribution Review) advice regulation gap issued by FCA in the UK.,wealthkernel.com,,Companies,Asset Management,White Label Wealth Management,Wealth Management as a Service for advisors & enterprises.,Emerging,y,Series A,"5,848,130",United Kingdom,2015,,,,,,,,,,,,,,,B2B,Yes,Financial
,FALSE,Stockspot,"Stockspot is an  online wealth manager that uses algorithms to asses users financial situation, investment goals, and risk tolerance and then recommends investment options.  Invest in ETFs listed on the Australian Stock Exchange.  Open to investors outside and within Australia.",stockspot.com.au,,,#N/A,,Automated investment adviser and fund manager,,y,Series B,"5,000,000",Australia,2013,,,,,,,,,,,,,,,#N/A,,
